angle_deg,Bn_T,Bt_T
1.570000000000000000e+02,-5.019583332933922337e-01,1.326782085886696050e-01
1.580000000000000000e+02,-5.402671334047055574e-01,3.751428705314097112e-02
1.590000000000000000e+02,-5.748114604721967780e-01,9.921104738634223263e-03
1.600000000000000000e+02,-5.847076845497318764e-01,7.145877534168454392e-04
1.610000000000000000e+02,-5.785841398841978789e-01,-8.212568088355076679e-03
1.620000000000000000e+02,-5.513840605563452568e-01,-3.818801983608455242e-02
1.630000000000000000e+02,-5.386351407118069590e-01,-1.300442348201393816e-01
1.640000000000000000e+02,-5.959190612439445589e-01,-2.550628463019767866e-01
1.650000000000000000e+02,-7.741208010660223238e-01,-3.853234568496453627e-01
1.660000000000000000e+02,-1.066560619305712221e+00,-2.628668899652447100e-01
1.670000000000000000e+02,-1.019435078791280924e+00,-7.332976601114127302e-02
1.680000000000000000e+02,-9.150125515517465447e-01,-5.840134295044552282e-02
1.690000000000000000e+02,-7.399477250686455898e-01,-1.300487982650734287e-01
1.700000000000000000e+02,-2.883743535495137400e-01,-1.609853330026459473e-01
1.710000000000000000e+02,-6.892252566417632342e-02,-8.009471880049238990e-02
1.720000000000000000e+02,1.516478943799444978e-01,-1.754862552840130430e-01
1.730000000000000000e+02,6.335849927404275661e-01,-1.571089653473302095e-01
1.740000000000000000e+02,8.394422675770998321e-01,-2.204441701990014213e-01
1.750000000000000000e+02,6.438036381908737171e-01,-3.254654970453862983e-01
1.760000000000000000e+02,5.093300611469750994e-01,-1.974312277893910117e-01
1.770000000000000000e+02,4.901193110570624678e-01,-7.810218724070976115e-02
1.780000000000000000e+02,5.206194423543408778e-01,-1.945132043268062508e-02
1.790000000000000000e+02,5.399847928406389386e-01,-5.078928832352802916e-03
1.800000000000000000e+02,5.427671160583790178e-01,1.398037100380732567e-03
1.810000000000000000e+02,5.332833423676611728e-01,1.016193457841464524e-02
1.820000000000000000e+02,5.042497433626891290e-01,4.142239292280550100e-02
1.830000000000000000e+02,4.915057953445104988e-01,1.318576259280520024e-01
1.840000000000000000e+02,5.446474062904259617e-01,2.513261961172350567e-01
1.850000000000000000e+02,6.970212153697492585e-01,3.767792889028076520e-01
1.860000000000000000e+02,9.231276130769577870e-01,2.603949437320487448e-01
1.870000000000000000e+02,7.291120835841339298e-01,1.708690454305633044e-01
1.880000000000000000e+02,2.412711330825631217e-01,1.772407731838488987e-01
1.890000000000000000e+02,1.254030581635759423e-02,8.447921100427971397e-02
1.900000000000000000e+02,-2.081854242113408138e-01,1.670784487294261766e-01
1.910000000000000000e+02,-6.646823913586096255e-01,1.361675505160447330e-01
1.920000000000000000e+02,-8.305493036424957953e-01,5.617956487809006028e-02
