t_s,theta_e_rad,ia_a,ib_a,ic_a,torque_nm,pcu_w,pfe_w,ppm_w,ploss_w,temp_c
3.833333333333333124e-03,4.014257279586957772e+00,-1.149066664678466765e+01,1.409538931178862597e+01,-2.604722665003955662e+00,-3.246278421105427275e-02,7.570904518044333997e+01,1.995430041293289047e-01,2.993145061939933571e-02,7.593851963519206549e+01,2.500011686291450275e+01
4.000000000000000083e-03,4.188790204786390525e+00,-1.299038105676657651e+01,1.299038105676658006e+01,-3.673940397442059967e-15,1.855139027710685923e-02,7.570904660089058780e+01,1.713442518927999481e-01,2.570163778391999082e-02,7.590609249056731755e+01,2.500012172867301530e+01
4.166666666666666609e-03,4.363323129985823279e+00,-1.409538931178862242e+01,1.149066664678467475e+01,2.604722665003948556e+00,7.179188931270678864e-02,7.570904802073111739e+01,1.966506083873707234e-01,2.949759125810560642e-02,7.593519622037659644e+01,2.500012659629645739e+01
4.333333333333333134e-03,4.537856055185256920e+00,-1.477211629518312108e+01,9.641814145298086558e+00,5.130302149885021201e+00,2.640900402341311154e-02,7.570904944111576640e+01,2.275519539837514427e-01,3.413279309756271640e-02,7.597073418819708479e+01,2.500013146619728133e+01
4.499999999999999660e-03,4.712388980384689674e+00,-1.500000000000000000e+01,7.499999999999999112e+00,7.499999999999989342e+00,-7.430946306634102997e-04,7.570905086216498603e+01,2.523993824130777441e-01,3.785990736196166023e-02,7.599931015194002271e+01,2.500013633792920587e+01
4.666666666666666186e-03,4.886921905584122428e+00,-1.477211629518312108e+01,5.130302149885032748e+00,9.641814145298077676e+00,6.409582678432850303e-03,7.570905228374854801e+01,2.491756169556337275e-01,3.737634254334505635e-02,7.599560424324752717e+01,2.500014120942287832e+01
4.833333333333333579e-03,5.061454830783555181e+00,-1.409538931178862775e+01,2.604722665003960547e+00,1.149066664678465877e+01,-2.487852067013058069e-02,7.570905370526256206e+01,2.130085033889532742e-01,3.195127550834298696e-02,7.595401348415985865e+01,2.500014607824978086e+01
5.000000000000000104e-03,5.235987755982988823e+00,-1.299038105676657828e+01,-4.824367949029909654e-15,1.299038105676658184e+01,1.835624696271399153e-02,7.570905512599848919e+01,1.801130650027653879e-01,2.701695975041480680e-02,7.591618515075167295e+01,2.500015094465109655e+01
5.166666666666666630e-03,5.410520681182421576e+00,-1.149066664678467120e+01,-2.604722665003956994e+00,1.409538931178862597e+01,4.937014136247541013e-02,7.570905654602655943e+01,2.083625741118483865e-01,3.125438611677725659e-02,7.594867350625517588e+01,2.500015581313430602e+01
5.333333333333333155e-03,5.585053606381854330e+00,-9.641814145298093663e+00,-5.130302149885030083e+00,1.477211629518312108e+01,1.937567621012482866e-02,7.570905796666212950e+01,2.389778261382581870e-01,3.584667392073872388e-02,7.598388246672112700e+01,2.500016068387380841e+01
5.499999999999999681e-03,5.759586531581287083e+00,-7.500000000000007105e+00,-7.499999999999995559e+00,1.500000000000000000e+01,2.646465435514896037e-03,7.570905938795610268e+01,2.646435599106128356e-01,3.969653398659192534e-02,7.601339948185329831e+01,2.500016555650473293e+01
5.666666666666666206e-03,5.934119456780719837e+00,-5.130302149885041629e+00,-9.641814145298083005e+00,1.477211629518312108e+01,-2.378758227810970002e-02,7.570906080980196862e+01,2.592881889759950376e-01,3.889322834639925147e-02,7.600724222712436529e+01,2.500017042874026529e+01
5.833333333333332732e-03,6.108652381980153478e+00,-2.604722665003955662e+00,-1.149066664678467653e+01,1.409538931178862953e+01,-2.996459962724355025e-02,7.570906223153252768e+01,2.205443411857810343e-01,3.308165117786715514e-02,7.596268822389617981e+01,2.500017529811907835e+01
