rpm,iq_peak_a,avg_torque_nm,avg_loss_w,efficiency
5.000000000000000000e+02,1.000000000000000000e+01,9.064777863849217410e-03,3.374758315102070583e+01,1.386908110890290070e-02
5.000000000000000000e+02,2.000000000000000000e+01,1.171668617558855111e-02,1.347181620717113901e+02,4.533191387373261723e-03
5.000000000000000000e+02,3.000000000000000000e+01,1.293599574132611209e-02,3.030853853693972155e+02,2.229790310685628857e-03
1.000000000000000000e+03,1.000000000000000000e+01,9.064777863849217410e-03,3.389280546924021564e+01,2.724469027367996260e-02
1.000000000000000000e+03,2.000000000000000000e+01,1.171668617558855111e-02,1.349000589528121452e+02,9.013408505395227935e-03
1.000000000000000000e+03,3.000000000000000000e+01,1.293599574132611209e-02,3.034491314479260495e+02,4.444348691105537257e-03
2.000000000000000000e+03,1.000000000000000000e+01,9.064777863849217410e-03,3.432156907430934467e+01,5.241628462470802885e-02
2.000000000000000000e+03,2.000000000000000000e+01,1.171668617558855111e-02,1.354372798920791467e+02,1.779618070895826881e-02
2.000000000000000000e+03,3.000000000000000000e+01,1.293599574132611209e-02,3.045240207247016428e+02,8.818407229339023795e-03
