angle_deg,Bn_T,Bt_T
1.230000000000000000e+02,-5.598598342031664288e-01,-2.783217979806912323e-02
1.240000000000000000e+02,-5.311441774750391698e-01,-8.824494568208829381e-02
1.250000000000000000e+02,-6.327768422315216412e-01,-2.279836663807935093e-01
1.260000000000000000e+02,-8.509432207068212684e-01,-1.387788234066162363e-01
1.270000000000000000e+02,-8.066257044599376425e-01,-2.448135403267526211e-02
1.280000000000000000e+02,-7.769593991103069808e-01,-1.161200507960286066e-02
1.290000000000000000e+02,-7.548529181288889944e-01,-1.311120136845977946e-02
1.300000000000000000e+02,-7.253837215795817528e-01,-2.648896307207393441e-02
1.310000000000000000e+02,-6.645963003846315775e-01,-4.880719142807488087e-02
1.320000000000000000e+02,-4.994375670389403776e-01,-1.344926150060780368e-01
1.330000000000000000e+02,-2.470695646777391896e-02,-1.870337696220671919e-01
1.340000000000000000e+02,2.688509214895977717e-01,-2.191385944600204860e-01
1.350000000000000000e+02,2.856766745516086115e-01,-5.458582525340289759e-01
1.360000000000000000e+02,4.876958146413112871e-01,-4.704323303029943060e-01
1.370000000000000000e+02,4.970631456187247776e-01,-2.770508606327893864e-01
1.380000000000000000e+02,5.026581797421620923e-01,-1.346457085669821585e-01
1.390000000000000000e+02,5.450777651753176967e-01,-5.383502715801299909e-02
1.400000000000000000e+02,5.767877949673811955e-01,-1.527135920309918848e-02
1.410000000000000000e+02,5.879377600876193322e-01,-1.842764365210025623e-03
1.420000000000000000e+02,5.813786049801403788e-01,9.770131240155355279e-03
1.430000000000000000e+02,5.495749554985102092e-01,4.693315929120844832e-02
1.440000000000000000e+02,5.558591082718250531e-01,1.604516081367252933e-01
1.450000000000000000e+02,6.996594654259324919e-01,2.989937936906153504e-01
1.460000000000000000e+02,9.462470314355471146e-01,1.880454403836048782e-01
1.470000000000000000e+02,8.933309721127540293e-01,4.110378313226326075e-02
1.480000000000000000e+02,8.361947018904880569e-01,2.864162535251435493e-02
1.490000000000000000e+02,7.643649211401782884e-01,4.772944815060903290e-02
1.500000000000000000e+02,6.017117304818900836e-01,1.245764630466487666e-01
1.510000000000000000e+02,1.595275755163818032e-01,1.611623719549899469e-01
1.520000000000000000e+02,-7.215321152470761945e-02,8.970542193672824405e-02
1.530000000000000000e+02,-3.189252814417156134e-01,2.018241906939016173e-01
1.540000000000000000e+02,-8.341311705972824786e-01,3.313007580643258509e-01
1.550000000000000000e+02,-6.947854535465699533e-01,4.088456943634874996e-01
1.560000000000000000e+02,-5.666193288104551806e-01,2.663940076305794102e-01
1.570000000000000000e+02,-5.353624998744888064e-01,1.366739251158845536e-01
1.580000000000000000e+02,-5.603526769604159075e-01,4.866452614330038506e-02
1.590000000000000000e+02,-5.866654970910878397e-01,1.291212904077246315e-02
1.600000000000000000e+02,-5.954939273259757249e-01,1.270344077229729196e-03
1.610000000000000000e+02,-5.882854959514691728e-01,-1.264275996729977147e-02
1.620000000000000000e+02,-5.587201086380544357e-01,-4.063786242809572236e-02
1.630000000000000000e+02,-5.462719972244078903e-01,-1.339745652683797528e-01
1.640000000000000000e+02,-6.050842555445790083e-01,-2.641430910741864313e-01
1.650000000000000000e+02,-7.766283561821218928e-01,-3.940718885987855025e-01
1.660000000000000000e+02,-1.062071636549193787e+00,-2.751854487675197691e-01
1.670000000000000000e+02,-9.803019846409799509e-01,-1.025453899156034271e-01
1.680000000000000000e+02,-7.760033438397905270e-01,-1.420077171917247527e-01
1.690000000000000000e+02,-3.055104420723788738e-01,-1.817484253114824699e-01
1.700000000000000000e+02,-8.729089573817877534e-02,-8.397810447006694157e-02
1.710000000000000000e+02,1.324761235552429361e-01,-1.515378928207861686e-01
1.720000000000000000e+02,5.770234010800946445e-01,-1.402899640996353448e-01
1.730000000000000000e+02,7.719967941888317142e-01,-7.758245232297726612e-02
1.740000000000000000e+02,8.661103077917672310e-01,-1.984721597294979434e-01
1.750000000000000000e+02,6.447212729977291890e-01,-3.154061960273626952e-01
1.760000000000000000e+02,5.050385416073653877e-01,-1.975814120618187009e-01
1.770000000000000000e+02,4.773587883977273849e-01,-8.009701294802056004e-02
1.780000000000000000e+02,5.059806653720757552e-01,-2.065367717159196509e-02
1.790000000000000000e+02,5.242460655032963324e-01,-4.687890640246793195e-03
1.800000000000000000e+02,5.266309498872699946e-01,2.010804918708933731e-03
1.810000000000000000e+02,5.163326767303926257e-01,1.264486999940503745e-02
1.820000000000000000e+02,4.856739349320227106e-01,4.867285712876095322e-02
1.830000000000000000e+02,4.641531718095060488e-01,1.282807640060160681e-01
1.840000000000000000e+02,5.064170128390488301e-01,2.520128131837994778e-01
1.850000000000000000e+02,6.216244127183724322e-01,3.863276777660664130e-01
1.860000000000000000e+02,7.263851010003385955e-01,2.915769751708353619e-01
1.870000000000000000e+02,2.311877986913855321e-01,1.924102359116277861e-01
1.880000000000000000e+02,-1.826301536475794310e-02,9.408686641476217416e-02
1.890000000000000000e+02,-2.480888590648015202e-01,1.697320376599807668e-01
1.900000000000000000e+02,-7.004293761250768302e-01,1.354523544890292586e-01
1.910000000000000000e+02,-8.637861261601623708e-01,5.163162442615404357e-02
1.920000000000000000e+02,-9.363910873959809811e-01,3.741730907043661070e-02
1.930000000000000000e+02,-1.009427500819981338e+00,5.879945991655582960e-02
1.940000000000000000e+02,-1.033139195222134932e+00,2.383854929150658331e-01
1.950000000000000000e+02,-7.550563392126007356e-01,3.571830039134504808e-01
1.960000000000000000e+02,-5.940238790937639735e-01,2.180266776369222670e-01
1.970000000000000000e+02,-5.570589477128968792e-01,8.513794832075650965e-02
1.980000000000000000e+02,-5.888837512801083918e-01,2.045594350692978014e-02
1.990000000000000000e+02,-6.058446576841850506e-01,4.434270723408156867e-03
2.000000000000000000e+02,-6.017204592491898207e-01,-8.925759993617859989e-03
2.010000000000000000e+02,-5.702118097489242698e-01,-3.362878264176419330e-02
2.020000000000000000e+02,-5.167713899498723729e-01,-9.772081689134390348e-02
2.030000000000000000e+02,-5.040559460100086930e-01,-2.394885601079605741e-01
2.040000000000000000e+02,-4.636790776089865229e-01,-4.319569883815364553e-01
2.050000000000000000e+02,-2.532298392773477125e-01,-5.137748308503453654e-01
2.060000000000000000e+02,-2.164046746695971191e-01,-1.994838085758159352e-01
2.070000000000000000e+02,7.238269034732576490e-02,-1.989914057293864225e-01
2.080000000000000000e+02,5.345267074582398248e-01,-1.393371321124395878e-01
2.090000000000000000e+02,7.102835514077863177e-01,-4.741079651308022225e-02
2.100000000000000000e+02,7.698729588083600417e-01,-2.212318371063559663e-02
2.110000000000000000e+02,8.013244975471315312e-01,-1.159983491026411739e-02
2.120000000000000000e+02,8.225415237980228111e-01,-1.270032664262704669e-02
2.130000000000000000e+02,8.554124423036474356e-01,-2.803548767296626387e-02
2.140000000000000000e+02,9.000462542400714527e-01,-1.524337084330060765e-01
2.150000000000000000e+02,6.582457752246589910e-01,-2.405862842784764477e-01
2.160000000000000000e+02,5.628555218552845352e-01,-1.035568852072295820e-01
2.170000000000000000e+02,5.889266744153256461e-01,-2.578861898636342076e-02
2.180000000000000000e+02,6.009443236806369937e-01,1.014019378518582482e-03
2.190000000000000000e+02,5.865208272195086003e-01,2.016368453730382759e-02
2.200000000000000000e+02,5.347000480541371781e-01,7.287763689270154721e-02
2.210000000000000000e+02,4.747881789893199089e-01,1.754377513350422746e-01
2.220000000000000000e+02,4.020977936879009951e-01,3.646851700764908721e-01
2.230000000000000000e+02,1.090321589501643817e-01,4.677809720285427408e-01
2.240000000000000000e+02,3.711897754454077103e-02,3.487956694940044233e-01
2.250000000000000000e+02,-3.322376894284531645e-02,3.786422286224206957e-01
2.260000000000000000e+02,-4.394067335599918800e-01,1.798017981310882640e-01
2.270000000000000000e+02,-6.416678200127117204e-01,5.242487236369147707e-02
2.280000000000000000e+02,-7.118871377590236804e-01,2.066112231067740446e-02
2.290000000000000000e+02,-7.455848761944429137e-01,1.113027605778171836e-02
2.300000000000000000e+02,-7.595147679140289432e-01,5.487305554391808116e-03
2.310000000000000000e+02,-7.677416193742563344e-01,4.194385775156295182e-03
2.320000000000000000e+02,-7.771026186540210823e-01,6.424357650947731813e-03
2.330000000000000000e+02,-7.961534447005547133e-01,1.644674077011265556e-02
2.340000000000000000e+02,-8.291550804253711160e-01,1.008907284395927362e-01
2.350000000000000000e+02,-6.376329871031422014e-01,1.448372872686297663e-01
2.360000000000000000e+02,-6.116450522746679219e-01,2.785809573255870752e-02
2.370000000000000000e+02,-6.208826962074636135e-01,-6.992061930636728206e-03
2.380000000000000000e+02,-5.876043965702153482e-01,-3.775709437827998172e-02
2.390000000000000000e+02,-5.000384100934897047e-01,-1.072801673510717924e-01
2.400000000000000000e+02,-3.861905814605843257e-01,-3.010206259011622976e-01
2.410000000000000000e+02,-7.667679486483247597e-02,-3.999085811486390307e-01
2.420000000000000000e+02,1.792640231262342121e-02,-3.078421978848602247e-01
2.430000000000000000e+02,1.129936429424204247e-01,-3.567109085259613233e-01
2.440000000000000000e+02,4.879711797678315532e-01,-1.979426231613686804e-01
2.450000000000000000e+02,6.899399085476125570e-01,-5.805187203582495847e-02
2.460000000000000000e+02,7.590461820631049239e-01,-2.139115506033006930e-02
2.470000000000000000e+02,7.897262288687143528e-01,-7.989927582384148685e-03
2.480000000000000000e+02,8.021966978792283154e-01,-1.864070795793704161e-03
2.490000000000000000e+02,8.093222633868732974e-01,-1.207050007629162369e-03
2.500000000000000000e+02,8.121866146086664795e-01,-8.943249015211929276e-04
2.510000000000000000e+02,8.142314778712201884e-01,-1.781052684463213520e-03
2.520000000000000000e+02,8.165173117056769847e-01,-3.446287829906885536e-03
2.530000000000000000e+02,8.223842733601769428e-01,-8.172059044050800081e-03
2.540000000000000000e+02,8.279366119017494974e-01,-5.331793573412002551e-02
2.550000000000000000e+02,7.204714759623657150e-01,-3.605870738128605368e-02
2.560000000000000000e+02,7.037535013910130033e-01,1.416527895904329259e-02
2.570000000000000000e+02,6.282978983451283916e-01,7.573500070888988800e-02
2.580000000000000000e+02,4.533738496711057775e-01,2.353648964638440921e-01
2.590000000000000000e+02,1.141334205340753805e-01,3.650693716824597868e-01
2.600000000000000000e+02,1.334579804715458479e-02,2.968072920778905832e-01
2.610000000000000000e+02,-8.814667789848007473e-02,3.544093029373225345e-01
2.620000000000000000e+02,-4.209646430014051255e-01,2.473062872081043528e-01
2.630000000000000000e+02,-5.950463079658040444e-01,6.882431694361434982e-02
2.640000000000000000e+02,-6.712479260938125636e-01,1.819422872682961712e-02
2.650000000000000000e+02,-6.950141035032476600e-01,-2.079807147609077228e-02
2.660000000000000000e+02,-7.761309738786740242e-01,-3.277420523099949801e-02
2.670000000000000000e+02,-7.740940181924080843e-01,-4.126052032077068277e-03
2.680000000000000000e+02,-7.694988591056203253e-01,-1.769107425765342051e-03
2.690000000000000000e+02,-7.680844078945286979e-01,-9.547335407113412969e-04
2.700000000000000000e+02,-7.671806580678557363e-01,-1.270076674267226011e-03
2.710000000000000000e+02,-7.643753532305419540e-01,-1.429099159910064004e-03
2.720000000000000000e+02,-7.579315917903700628e-01,-3.640991115052078647e-03
2.730000000000000000e+02,-7.440344585546868617e-01,-9.727755115074475378e-03
2.740000000000000000e+02,-7.125789901650085856e-01,-2.130671374290512426e-02
2.750000000000000000e+02,-6.345103359511615748e-01,-6.011249051813585820e-02
2.760000000000000000e+02,-4.449669828490297463e-01,-2.174992335434364210e-01
2.770000000000000000e+02,-9.038632645808913901e-02,-3.644247049795356075e-01
2.780000000000000000e+02,1.245808077915405016e-02,-3.111528992964132101e-01
2.790000000000000000e+02,1.019736700272321633e-01,-4.023422083965073615e-01
2.800000000000000000e+02,4.263954495006584411e-01,-2.972307855400022625e-01
2.810000000000000000e+02,5.571939539878268954e-01,-9.172183832941646631e-02
2.820000000000000000e+02,6.344485838580953274e-01,-2.645923381368660288e-02
2.830000000000000000e+02,6.632718546833328288e-01,-5.394808523882799189e-04
2.840000000000000000e+02,6.421297670275882830e-01,4.324747713464047183e-02
2.850000000000000000e+02,7.043607020912918681e-01,1.946502155634289022e-01
2.860000000000000000e+02,9.267204439495919654e-01,1.354069325380700128e-01
2.870000000000000000e+02,8.933283994650642601e-01,2.233980327368068064e-02
2.880000000000000000e+02,8.683990566962989099e-01,9.041196542171170414e-03
2.890000000000000000e+02,8.561858317599766455e-01,4.879529883367150767e-03
2.900000000000000000e+02,8.478632255654835470e-01,5.526480666830813071e-03
2.910000000000000000e+02,8.334854017017914174e-01,9.793524706755596387e-03
2.920000000000000000e+02,8.046636636649473484e-01,2.066686984280402539e-02
2.930000000000000000e+02,7.388241767464506227e-01,5.911249248991590211e-02
2.940000000000000000e+02,5.375473262350121129e-01,1.672002068222555038e-01
2.950000000000000000e+02,1.097181916725076117e-01,3.199289679090954741e-01
2.960000000000000000e+02,1.526074211321071239e-02,3.139292415858821461e-01
2.970000000000000000e+02,-6.870744395213859712e-02,4.119138625843529189e-01
2.980000000000000000e+02,-3.606845315635139881e-01,3.479302036027908662e-01
2.990000000000000000e+02,-4.446434220205182086e-01,1.646824609821735397e-01
3.000000000000000000e+02,-5.055588965150105141e-01,5.642757846535467747e-02
3.010000000000000000e+02,-5.570356858292215829e-01,1.647801157009570749e-02
