mesh,airgap_fraction,radius_mm,points,cogging_maxwell_nm,loaded_total_maxwell_nm,loaded_increment_maxwell_nm,loaded_increment_wst_nm
gap8,0.25,31.625,180,0.011440404510426676,2.4501671705976267,2.4387267660872,2.409519256248183
gap8,0.25,31.625,360,-0.01736482996105285,2.3613066715919597,2.3786715015530127,2.409519256248183
gap8,0.25,31.625,720,-0.002577732994864258,2.4041275512655904,2.406705284260455,2.409519256248183
gap8,0.5,31.75,180,-0.04912341986128003,2.4507906420402548,2.499914061901535,2.409519256248183
gap8,0.5,31.75,360,-0.051596830421645715,2.3564078508913178,2.4080046813129634,2.409519256248183
gap8,0.5,31.75,720,-0.06371596912303329,2.349002097571849,2.412718066694882,2.409519256248183
gap8,0.75,31.875,180,-0.04644159311741915,2.5387502156952184,2.5851918088126378,2.409519256248183
gap8,0.75,31.875,360,-0.03886008672511705,2.3853370529901654,2.4241971397152824,2.409519256248183
gap8,0.75,31.875,720,-0.002891954121276013,2.4050396257064577,2.407931579827734,2.409519256248183
