study,level,points,airgap_radial_layers,airgap_arc_deg,loaded_mean_nm,loaded_ripple_pp_nm,cogging_mean_nm,cogging_pp_nm,loaded_mean_error,cogging_pp_error
mesh,gap3,3,3,1.0,2.393425538640758,0.030175426397863525,0.006268141679754253,0.043025320386451446,0.000677997077567108,0.36368219372700095
mesh,gap5,3,5,0.5,2.3948364314208237,0.028674565908278105,0.0042778786645165,0.03632236958534295,8.890994027314657e-05,0.15123299937357146
mesh,gap8,3,8,0.25,2.3947648372102925,0.028397218198397134,-0.000698889437097131,0.02907295680847766,0.00011880252256182586,0.07853623953025426
mesh,gap12,3,12,0.15,2.3950493751177167,0.028696522135228886,0.00023395391949132768,0.03155084123292791,0.0,0.0
angle,n3,3,8,0.25,2.3947648372102925,0.028397218198397134,-0.000698889437097131,0.02907295680847766,0.0009618085229700137,0.06378050546941127
angle,n6,6,8,0.25,2.3924637451892727,0.02834969124695208,4.5319798961915986e-05,0.031053569145187,0.0,0.0
