study,level,points,rotor_angle_deg,cogging_torque_nm,loaded_total_torque_nm
mesh,gap3,3,0.0,0.02055659273042659,2.429361851676938
mesh,gap3,3,0.6666666666666666,-0.02089392204726442,2.371431636915664
mesh,gap3,3,1.3333333333333333,0.02062021797125413,2.399379486975859
mesh,gap5,3,0.0,0.002107350081924966,2.411686541845404
mesh,gap5,3,0.6666666666666666,-0.01305033451823421,2.37998783226596
mesh,gap5,3,1.3333333333333333,0.02193704678566718,2.402909281046386
mesh,gap8,3,0.0,-0.0008294233459623658,2.408689832902221
mesh,gap8,3,0.6666666666666666,-0.01560052626946279,2.377713329240813
mesh,gap8,3,1.3333333333333333,0.01439959659316352,2.39512344368073
mesh,gap12,3,0.0,0.0001308074710786777,2.409868577145338
mesh,gap12,3,0.6666666666666666,-0.01525322701452678,2.378121941684291
mesh,gap12,3,1.3333333333333333,0.01601510137989019,2.397104749410246
angle,n3,3,0.0,-0.0008294233459623658,2.408689832902221
angle,n3,3,0.6666666666666666,-0.01560052626946279,2.377713329240813
angle,n3,3,1.3333333333333333,0.01439959659316352,2.39512344368073
angle,n6,6,0.0,-0.0008294233459623658,2.408689832902221
angle,n6,6,0.3333333333333333,-0.005420360431978537,2.395398546282911
angle,n6,6,0.6666666666666666,-0.01512409840694955,2.378231386620184
angle,n6,6,1.0,0.0009469317377540618,2.385871926392235
angle,n6,6,1.3333333333333333,0.01406125043790346,2.395184007258765
angle,n6,6,1.6666666666666665,0.007213675108841903,2.391034453740608
