t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
1.200000000000000112e-03,1.806031629294414742e+01,1.461517527872890909e+01,7.747507138027591722e+00,1.379510764988051278e+03,2.300484518472467244e+03,3.687742790598545980e+03,2.500180914586105985e+01,2.349177461762595037e-02
1.300000000000000157e-03,1.806534222074641605e+01,1.502919531177101042e+01,8.192673035801842474e+00,1.381671760814047275e+03,2.304196687292312618e+03,3.694061121142161937e+03,2.500195122498032063e+01,2.349178745988126163e-02
1.399999999999999986e-03,1.807036804536440044e+01,1.539413603980221623e+01,8.595379261617409838e+00,1.383590991787983512e+03,2.307505984677859033e+03,3.699692355727459926e+03,2.500209352067338386e+01,2.349180032413856339e-02
1.500000000000000031e-03,1.807539375886163313e+01,1.571588696608934654e+01,8.958440946871146338e+00,1.385297174035122907e+03,2.310460247694998998e+03,3.704715862676993311e+03,2.500223600956609360e+01,2.349181320800508219e-02
1.600000000000000077e-03,1.808041935330183136e+01,1.599963085255484430e+01,9.284848159020420155e+00,1.386815642600329056e+03,2.313101683048540053e+03,3.709202173807889267e+03,2.500237867099705014e+01,2.349182610936445537e-02
1.700000000000000122e-03,1.808544482074889359e+01,1.624992852873813121e+01,9.577629432332741999e+00,1.388168742787508336e+03,2.315467518509203728e+03,3.713213890729044579e+03,2.500252148671262020e+01,2.349183902634595020e-02
1.800000000000000168e-03,1.809047015326692076e+01,1.647079352368158567e+01,9.839757702500426362e+00,1.389376177755280651e+03,2.317590581556964025e+03,3.716806517014745168e+03,2.500266444059391802e+01,2.349185195729681930e-02
1.899999999999999996e-03,1.809549534292022344e+01,1.666575774199021964e+01,1.007408768772837782e+01,1.390455316895996475e+03,2.319499812768593983e+03,3.720029217352318938e+03,2.500280751841301097e+01,2.349186490075761552e-02
2.000000000000000042e-03,1.810052038177335021e+01,1.683792925876419844e+01,1.028331639747298709e+01,1.391421469144442881e+03,2.321220720844959942e+03,3.722925506386875895e+03,2.500295070761560723e+01,2.349187785544010199e-02
2.100000000000000304e-03,1.810554526189106994e+01,1.699004317913942330e+01,1.046996047337040814e+01,1.392288124990879624e+03,2.322775785556068058e+03,3.725533871020318202e+03,2.500309399712768155e+01,2.349189082020757685e-02
2.200000000000000133e-03,1.811056997533841795e+01,1.712450639468330493e+01,1.063634561622375685e+01,1.393067170617596730e+03,2.324184814291192652e+03,3.727888330525012861e+03,2.500323737718364114e+01,2.349190379405736648e-02
2.299999999999999961e-03,1.811559451418068178e+01,1.724343696902298717e+01,1.078460453726392387e+01,1.393769077243467791e+03,2.325465257345150349e+03,3.730018939125881843e+03,2.500338083917383258e+01,2.349191677610525802e-02
2.400000000000000223e-03,1.812061887048342612e+01,1.734869879719823871e+01,1.091668077544992066e+01,1.394403068449366401e+03,2.326632486553733997e+03,3.731952235778550403e+03,2.500352437550932549e+01,2.349192976557171533e-02
2.500000000000000052e-03,1.812564303631251406e+01,1.744193210589195431e+01,1.103433641030844292e+01,1.394977267969967897e+03,2.327700041413630970e+03,3.733711645793907337e+03,2.500366797950216480e+01,2.349194276176961443e-02
2.600000000000000314e-03,1.813066700373409645e+01,1.752458029363301151e+01,1.113916222185081573e+01,1.395498830174353543e+03,2.328679846384640769e+03,3.735317838780844795e+03,2.500381164525938615e+01,2.349195576409340847e-02
2.700000000000000143e-03,1.813569076481464393e+01,1.759791355017480541e+01,1.123258924409232051e+01,1.395974055218401645e+03,2.329582402673857814e+03,3.736789047136351655e+03,2.500395536758926340e+01,2.349196877200952424e-02
2.799999999999999972e-03,1.814071431162095038e+01,1.766304964154834067e+01,1.131590095640806659e+01,1.396408490635145654e+03,2.330416957440913848e+03,3.738141349032467588e+03,2.500409914191846994e+01,2.349198178504789680e-02
