rotor_angle_deg,cogging_torque_nm,loaded_total_torque_nm
0.000000000000000000e+00,2.107350081924965965e-03,2.411686541845404097e+00
6.666666666666666297e-01,-1.305033451823420926e-02,2.379987832265960002e+00
1.333333333333333259e+00,2.193704678566717886e-02,2.402909281046385903e+00
