rotor_angle_deg,cogging_torque_nm,loaded_total_torque_nm
0.000000000000000000e+00,-9.514766516792320982e-04,2.408712458116151200e+00
3.333333333333333148e-01,-5.853644800853655822e-03,2.395226610545317047e+00
6.666666666666666297e-01,-1.526420259417819031e-02,2.378119947325747940e+00
1.000000000000000000e+00,5.459195440476998645e-04,2.385516272209649902e+00
1.333333333333333259e+00,1.578936655100881062e-02,2.397103610071887214e+00
1.666666666666666519e+00,6.005956745426064419e-03,2.390375491660654994e+00
