rotor_angle_deg,cogging_torque_nm,loaded_total_torque_nm
0.000000000000000000e+00,-8.294233459623657741e-04,2.408689832902220829e+00
3.333333333333333148e-01,-5.420360431978537077e-03,2.395398546282911045e+00
6.666666666666666297e-01,-1.512409840694954946e-02,2.378231386620183851e+00
1.000000000000000000e+00,9.469317377540617574e-04,2.385871926392235221e+00
1.333333333333333259e+00,1.406125043790346085e-02,2.395184007258765124e+00
1.666666666666666519e+00,7.213675108841902626e-03,2.391034453740608079e+00
